Date,City,Temperature,Humidity,Weather,City_Weather
01-29-2024,delhi,28.5,,sunny,delhi-sunny
02-01-2024,Chennai,21.7,67,Cloudy,Chennai-Cloudy
03-Jan-24,Delhi,19.7,70,Clear,Delhi-Clear
27-01-2024,Mumbai,34.6,59,CLEAR,Mumbai-CLEAR
30-01-2024,mumbai,,89,Clear,mumbai-Clear
24-02-2024,Mumbai,26.1,,Clear,Mumbai-Clear
23-Jan-24,Kolkata,,,rain,Kolkata-rain
01-15-2024,mumbai,29.7,,rain,mumbai-rain
02-01-2024,Bangalore,,,sunny,Bangalore-sunny
11-01-2024,Mumbai,22.2,51,sunny,Mumbai-sunny
02-05-2024,mumbai,,88,CLEAR,mumbai-CLEAR
01-12-2024,Chennai,,,Sunny,Chennai-Sunny
23-Jan-24,delhi,15.3,61,Clear,delhi-Clear
18-Jan-24,Chennai,24.1,,Clear,Chennai-Clear
24-Jan-24,Chennai,18.6,58,CLEAR,Chennai-CLEAR
06-02-2024,Delhi,30.5,90,sunny,Delhi-sunny
15-01-2024,Mumbai,,76,Cloudy,Mumbai-Cloudy
26-Jan-24,Chennai,33.6,76,Cloudy,Chennai-Cloudy
21-02-2024,delhi,,54,sunny,delhi-sunny
09-02-2024,Bangalore,,82,Rain,Bangalore-Rain
16-02-2024,mumbai,17.6,88,Rain,mumbai-Rain
27-02-2024,Delhi,,,Sunny,Delhi-Sunny
18-02-2024,Delhi,,80,CLEAR,Delhi-CLEAR
19-02-2024,Delhi,,85,sunny,Delhi-sunny
02-21-2024,Mumbai,30.4,86,Sunny,Mumbai-Sunny
19-02-2024,Kolkata,24.9,,Sunny,Kolkata-Sunny
23-01-2024,Chennai,29.9,67,Cloudy,Chennai-Cloudy
01-Jan-24,Delhi,32.2,,sunny,Delhi-sunny
17-Feb-24,Chennai,29.6,,sunny,Chennai-sunny
01-19-2024,delhi,,,CLEAR,delhi-CLEAR
26-02-2024,Mumbai,21.5,68,CLEAR,Mumbai-CLEAR
22-01-2024,Bangalore,,,Sunny,Bangalore-Sunny
04-01-2024,Bangalore,,,Rain,Bangalore-Rain
23-02-2024,Delhi,,,rain,Delhi-rain
27-02-2024,mumbai,18.9,,sunny,mumbai-sunny
02-Feb-24,mumbai,32.4,77,Clear,mumbai-Clear
28-02-2024,Kolkata,19,71,CLEAR,Kolkata-CLEAR
01-03-2024,Mumbai,17,,Cloudy,Mumbai-Cloudy
05-02-2024,delhi,,,Sunny,delhi-Sunny
01-15-2024,delhi,17.1,,Clear,delhi-Clear
25-02-2024,mumbai,21.1,,Rain,mumbai-Rain
01-03-2024,Mumbai,23,61,Rain,Mumbai-Rain
17-01-2024,Mumbai,,,sunny,Mumbai-sunny
29-02-2024,Bangalore,,85,CLEAR,Bangalore-CLEAR
03-02-2024,Delhi,18.1,64,rain,Delhi-rain
17-02-2024,mumbai,,70,sunny,mumbai-sunny
31-Jan-24,delhi,18,,sunny,delhi-sunny
27-02-2024,mumbai,,,CLEAR,mumbai-CLEAR
07-Feb-24,Kolkata,,,CLEAR,Kolkata-CLEAR
02-22-2024,delhi,,76,sunny,delhi-sunny
14-02-2024,mumbai,21.9,78,sunny,mumbai-sunny
17-01-2024,Mumbai,,81,Cloudy,Mumbai-Cloudy
24-01-2024,delhi,21.4,85,Rain,delhi-Rain
20-Feb-24,Mumbai,,,Cloudy,Mumbai-Cloudy
04-02-2024,delhi,,,Rain,delhi-Rain
01-11-2024,Bangalore,16.7,56,Rain,Bangalore-Rain
25-02-2024,Bangalore,,,Rain,Bangalore-Rain
01-Mar-24,Chennai,31.8,,rain,Chennai-rain
02-08-2024,delhi,17.2,,Clear,delhi-Clear
23-02-2024,Bangalore,,,Clear,Bangalore-Clear
13-Jan-24,Bangalore,,90,Sunny,Bangalore-Sunny
02-01-2024,mumbai,21.2,,Cloudy,mumbai-Cloudy
17-01-2024,mumbai,33.2,64,Clear,mumbai-Clear
02-23-2024,Kolkata,19.4,,rain,Kolkata-rain
05-02-2024,delhi,22.4,,CLEAR,delhi-CLEAR
25-01-2024,Bangalore,,,CLEAR,Bangalore-CLEAR
02-27-2024,Chennai,,,Cloudy,Chennai-Cloudy
05-Feb-24,Chennai,,,Rain,Chennai-Rain
26-02-2024,Bangalore,19,,Cloudy,Bangalore-Cloudy
20-02-2024,delhi,29.4,,Sunny,delhi-Sunny
01-02-2024,Chennai,,65,rain,Chennai-rain
24-02-2024,Kolkata,,85,Cloudy,Kolkata-Cloudy
02-19-2024,Chennai,20.8,83,Cloudy,Chennai-Cloudy
02-Jan-24,Bangalore,,54,Cloudy,Bangalore-Cloudy
10-02-2024,Delhi,27.3,72,rain,Delhi-rain
19-Jan-24,Delhi,26.6,76,CLEAR,Delhi-CLEAR
17-Feb-24,delhi,,,Cloudy,delhi-Cloudy
01-18-2024,Bangalore,33.7,81,Cloudy,Bangalore-Cloudy
05-Jan-24,mumbai,,,sunny,mumbai-sunny
13-01-2024,Kolkata,,,Rain,Kolkata-Rain
04-01-2024,delhi,,,Sunny,delhi-Sunny
28-Jan-24,mumbai,22.2,68,Cloudy,mumbai-Cloudy
02-06-2024,Mumbai,25,,sunny,Mumbai-sunny
19-02-2024,mumbai,33.1,82,Sunny,mumbai-Sunny
29-01-2024,Kolkata,,,Sunny,Kolkata-Sunny
01-17-2024,Delhi,29.1,62,sunny,Delhi-sunny
01-07-2024,Delhi,,,Sunny,Delhi-Sunny
23-Jan-24,Kolkata,27.5,65,Cloudy,Kolkata-Cloudy
16-01-2024,Kolkata,25,,Cloudy,Kolkata-Cloudy
19-01-2024,Bangalore,,51,Rain,Bangalore-Rain
01-Feb-24,Delhi,17.5,76,Sunny,Delhi-Sunny
02-01-2024,Mumbai,,,rain,Mumbai-rain
27-Jan-24,mumbai,19,,Clear,mumbai-Clear
18-Jan-24,Kolkata,,50,Clear,Kolkata-Clear
22-01-2024,Mumbai,,,CLEAR,Mumbai-CLEAR
31-01-2024,Kolkata,33.4,71,Cloudy,Kolkata-Cloudy
03-01-2024,Mumbai,,82,rain,Mumbai-rain
01-03-2024,mumbai,34.3,73,rain,mumbai-rain
13-01-2024,Mumbai,,73,sunny,Mumbai-sunny
02-17-2024,Mumbai,27.5,,Cloudy,Mumbai-Cloudy
05-01-2024,mumbai,,84,Rain,mumbai-Rain
18-02-2024,Chennai,24.5,58,CLEAR,Chennai-CLEAR
23-Jan-24,delhi,29.9,,rain,delhi-rain
28-Jan-24,Bangalore,28.7,,Cloudy,Bangalore-Cloudy
29-01-2024,Delhi,,50,Clear,Delhi-Clear
17-02-2024,delhi,33.2,,CLEAR,delhi-CLEAR
11-02-2024,Mumbai,33.7,75,CLEAR,Mumbai-CLEAR
